"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri May 12 01:51:02 GMT 2023","Fri May 12 01:51:02 GMT 2023","0","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email valido e senha invalido entao não deverá fazer login",""
"passed","Wed Sep 14 12:39:38 GMT 2022","Wed Sep 14 12:39:39 GMT 2022","1267","","Funcionalidade cadasrtro","","","","cadastro sem sucesso",""
"passed","Wed Sep 14 12:39:12 GMT 2022","Wed Sep 14 12:39:14 GMT 2022","1608","","teste de consulta","","","","[GET] consulta uma postagem",""
"passed","Wed Sep 14 12:39:39 GMT 2022","Wed Sep 14 12:39:39 GMT 2022","277","","Funcionalidade cadasrtro","","","","cadastrar massa de dados do fixtures",""
"broken","Fri May 12 01:51:02 GMT 2023","Fri May 12 01:51:02 GMT 2023","0","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email invalido e senha valido entao não deverá fazer login",""
"passed","Wed Sep 14 12:39:15 GMT 2022","Wed Sep 14 12:39:15 GMT 2022","449","","testes de exclusão","","","","[PUT] curtir uma postagem",""
"passed","Wed Sep 14 12:39:14 GMT 2022","Wed Sep 14 12:39:15 GMT 2022","482","","teste de consulta","","","","[GET] consulta uma postagem por ID",""
"broken","Fri May 12 01:51:02 GMT 2023","Fri May 12 01:51:02 GMT 2023","339","","funcionaliade login","","","","Dado que o usuario esteja na tela de login Quando digitar email e senha validos entao deverá fazer login",""
"passed","Wed Sep 14 12:39:08 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","221","","","","","","[Post] - teste de autenticação com senha invalido",""
"passed","Wed Sep 14 12:39:47 GMT 2022","Wed Sep 14 12:40:00 GMT 2022","12661","","","","","","Concluir Cadastro Com sucesso",""
"passed","Wed Sep 14 12:39:33 GMT 2022","Wed Sep 14 12:39:35 GMT 2022","2068","","Funcionalidade cadasrtro","","","","deve fazer cadastro sem sucesso",""
"passed","Wed Sep 14 12:39:15 GMT 2022","Wed Sep 14 12:39:15 GMT 2022","471","","testes de exclusão","","","","[DELETE] deletar uma postagem",""
"passed","Wed Sep 14 12:39:19 GMT 2022","Wed Sep 14 12:39:19 GMT 2022","46","","","","","","Unnamed",""
"passed","Wed Sep 14 12:39:07 GMT 2022","Wed Sep 14 12:39:08 GMT 2022","786","","","","","","[Post] - teste de autenticação",""
"passed","Wed Sep 14 12:39:12 GMT 2022","Wed Sep 14 12:39:12 GMT 2022","373","","validação de postagens","","","","[POST] Criar uma postagem",""
"passed","Wed Sep 14 12:39:29 GMT 2022","Wed Sep 14 12:39:33 GMT 2022","3680","","Funcionalidade cadasrtro","","","","deve fazer cadastro com sucesso",""
